Inseto	Especie	Comprimento	Manchas
1	sp_3	49	6
2	sp_1	46	1
3	sp_2	80	2
4	sp_1	50	4
5	sp_1	45	1
6	sp_3	58	1
7	sp_1	44	1
8	sp_1	55	2
9	sp_2	80	1
10	sp_3	57	1
11	sp_3	56	2
12	sp_1	49	2
13	sp_1	43	3
14	sp_1	52	1
15	sp_2	82	1
16	sp_2	85	4
17	sp_1	47	1
18	sp_3	59	1
19	sp_3	26	1
20	sp_1	52	1
21	sp_2	69	3
22	sp_1	46	1
23	sp_2	76	2
24	sp_1	59	2
25	sp_1	46	2
26	sp_1	53	3
27	sp_3	54	2
28	sp_1	50	2
29	sp_3	58	2
30	sp_2	89	1
31	sp_3	43	3
32	sp_1	51	2
33	sp_2	81	3
34	sp_2	75	2
35	sp_3	70	2
36	sp_1	38	1
37	sp_3	50	3
38	sp_3	64	3
39	sp_3	59	2
40	sp_3	66	1
41	sp_2	86	4
42	sp_2	85	2
43	sp_2	79	2
44	sp_3	83	2
45	sp_1	44	3
46	sp_3	78	3
47	sp_1	47	2
48	sp_3	59	2
49	sp_2	89	2
50	sp_3	45	1
51	sp_2	88	1
52	sp_1	40	1
53	sp_3	62	2
54	sp_3	77	1
55	sp_2	77	2
56	sp_1	45	1
57	sp_3	51	4
58	sp_1	47	2
59	sp_2	76	2
60	sp_2	89	1
61	sp_1	49	2
62	sp_3	63	2
63	sp_1	52	1
64	sp_2	73	4
65	sp_3	52	2
66	sp_1	55	3
67	sp_3	73	2
68	sp_2	81	3
69	sp_3	42	2
70	sp_3	72	3
71	sp_1	49	1
72	sp_2	71	4
73	sp_1	55	1
74	sp_3	78	2
75	sp_2	85	3
76	sp_2	73	2
77	sp_2	84	3
78	sp_1	52	2
79	sp_2	79	1
80	sp_2	69	2
81	sp_2	85	2
82	sp_3	35	2
83	sp_2	81	2
84	sp_1	38	1
85	sp_2	76	4
86	sp_2	76	1
87	sp_1	51	2
88	sp_3	35	4
